Pharos in-app beacon placement (pedestrian route -> autotune, 5ft drift, 20ft step)
Beacons listed as lat, lon (same order as the source sheet).
==============================================================================

### 81 St & N T 4.gpx
  route 244 ft via osrm-foot/bike | 4 beacons | worst drift 2.3 ft | angle 6°, cap 120, min-spacing none
### 97 St & N T4.gpx
  route 128 ft via osrm-foot/bike | 3 beacons | worst drift 4.7 ft | angle 8°, cap 60, min-spacing 50
   1. 40.793778, -73.958059
   2. 40.794036, -73.958150
   3. 40.794100, -73.958096

### 97 St & N T5.gpx
  route 118 ft via osrm-foot/bike | 3 beacons | worst drift 4.7 ft | angle 8°, cap 60, min-spacing 50
   1. 40.793778, -73.958059
   2. 40.794036, -73.958150
   3. 40.794079, -73.958116

### Central Park S & N T 4.gpx
  route 534 ft via osrm-foot/bike | 8 beacons | worst drift 3.9 ft | angle 6°, cap 120, min-spacing none
   1. 40.773765, -73.975905
   2. 40.774049, -73.975685
   3. 40.774322, -73.975447
   4. 40.774439, -73.975314
   5. 40.774479, -73.975329
   6. 40.774581, -73.975075
   7. 40.774627, -73.974719
   8. 40.774628, -73.974595

### Central Park S & N T 5.gpx
  route 115 ft via osrm-foot/bike | 3 beacons | worst drift 1.4 ft | angle 1°, cap 60, min-spacing 50
   1. 40.772824, -73.973811
   2. 40.772757, -73.973613
   3. 40.772734, -73.973416

### Central Park S & N T1.gpx
  route 691 ft via osrm-foot/bike | 12 beacons | worst drift 3.6 ft | angle 4°, cap 200, min-spacing none
   1. 40.779137, -73.973142
   2. 40.779093, -73.973098
   3. 40.778922, -73.972822
   4. 40.778932, -73.972756
   5. 40.778980, -73.972725
   6. 40.779193, -73.972686
   7. 40.779281, -73.972772
   8. 40.779397, -73.972924
   9. 40.779445, -73.972959
  10. 40.779578, -73.972999
  11. 40.779148, -73.973442
  12. 40.778981, -73.973575

### Central Park S & N T2.gpx
  route 144 ft via osrm-foot/bike | 4 beacons | worst drift 2.0 ft | angle 2°, cap 60, min-spacing 30
   1. 40.778011, -73.966286
   2. 40.777940, -73.966176
   3. 40.777870, -73.965980
   4. 40.777798, -73.965856

### Central Park S & N T3.gpx
  route 740 ft via osrm-foot/bike | 19 beacons | worst drift 3.4 ft | angle 8°, cap 90, min-spacing none
   1. 40.775513, -73.971583
   2. 40.775345, -73.971399
   3. 40.775192, -73.971192
   4. 40.775094, -73.971129
   5. 40.774879, -73.971178
   6. 40.774662, -73.971219
   7. 40.774501, -73.971179
   8. 40.774362, -73.971075
   9. 40.774453, -73.970998
  10. 40.774483, -73.970938
  11. 40.774498, -73.970870
  12. 40.774498, -73.970798
  13. 40.774483, -73.970729
  14. 40.774453, -73.970669
  15. 40.774412, -73.970622
  16. 40.774362, -73.970592
  17. 40.774308, -73.970585
  18. 40.774292, -73.970523
  19. 40.774320, -73.970383

